date,USD,RUR,EUR,KZT,UAH,BYR
2007-01,26.3311,1,34.6965,0.207609,5.21987,0.012290599999999999
2007-02,26.5484,1,34.3802,0.21032299999999998,5.23823,0.0123467
2007-03,26.1481,1,34.539,0.21000800000000003,5.16567,0.0121718
2007-04,26.0113,1,34.6861,0.210061,5.13966,0.0121237
2007-05,25.6851,1,35.0653,0.213842,5.082330000000001,0.011947900000000001
2007-06,25.9043,1,34.8128,0.211337,5.13709,0.012049200000000001
2007-07,25.8162,1,34.715,0.21101099999999998,5.11465,0.0120187
2007-08,25.5448,1,35.0015,0.206631,5.07778,0.0118917
2007-09,25.6262,1,35.0233,0.202803,5.095280000000001,0.011914300000000001
2007-10,24.9493,1,35.3457,0.206255,4.95517,0.011601
2007-11,24.6724,1,35.6492,0.204098,4.877129999999999,0.011457499999999999
2007-12,24.4171,1,36.0055,0.20202,4.81239,0.0113252
2008-01,24.5462,1,35.9332,0.203492,4.82357,0.011389699999999999
2008-02,24.4262,1,36.29,0.203185,4.7900100000000005,0.0113498
2008-03,24.0023,1,36.5099,0.198601,4.70975,0.011176199999999999
2008-04,23.5027,1,37.0873,0.194725,4.66203,0.010944200000000001
2008-05,23.6588,1,36.8959,0.19649899999999998,4.73583,0.0110478
2008-06,23.7384,1,36.7827,0.196848,4.93501,0.0111144
2008-07,23.4068,1,36.971,0.193826,4.96359,0.011014300000000001
2008-08,23.4186,1,36.5752,0.19483,5.01576,0.0110752
2008-09,24.5769,1,36.2264,0.20550999999999997,5.285349999999999,0.0116368
2008-10,25.3718,1,36.4999,0.211555,5.0052900000000005,0.0120046
2008-11,27.0981,1,34.4092,0.226138,4.52767,0.0128214
2008-12,27.606,1,35.7166,0.22933299999999998,3.74319,0.012888
2009-01,29.3916,1,41.4275,0.242475,3.82952,0.0133537
2009-02,35.4146,1,45.6636,0.290212,4.5564,0.013005699999999999
2009-03,35.7205,1,45.3543,0.23705400000000001,4.2024099999999995,0.0125291
2009-04,33.9032,1,44.8946,0.224651,4.21158,0.011946199999999999
2009-05,32.974,1,43.9939,0.21861,4.060840000000001,0.0116681
2009-06,30.9843,1,43.378,0.205889,4.05288,0.0111214
2009-07,31.0385,1,43.8512,0.206222,4.05732,0.0109368
2009-08,31.1533,1,43.9978,0.20668299999999998,3.8796100000000004,0.010931
2009-09,31.8397,1,45.4321,0.211097,3.7657800000000003,0.011266700000000001
2009-10,30.0087,1,43.8877,0.198812,3.60898,0.0108531
2009-11,29.0488,1,43.0678,0.19267600000000001,3.5339199999999997,0.0105863
2009-12,29.0687,1,43.7658,0.195486,3.6267899999999997,0.0104451
2010-01,30.1851,1,43.4605,0.20323899999999998,3.7497,0.0105395
2010-02,30.4312,1,42.4637,0.205686,3.7896900000000002,0.010540800000000001
2010-03,29.9484,1,40.8047,0.203281,3.7332799999999997,0.0102178
2010-04,29.4956,1,39.5713,0.20069099999999998,3.6999000000000004,0.009901199999999999
2010-05,29.1537,1,38.6986,0.199042,3.65885,0.0098426
2010-06,30.74,1,37.8133,0.209579,3.8788600000000004,0.0102433
2010-07,31.2554,1,38.2097,0.21180800000000002,3.94569,0.0103529
2010-08,30.1869,1,39.4694,0.20435199999999998,3.82316,0.0101434
2010-09,30.8669,1,39.0127,0.20948699999999998,3.91364,0.0102446
2010-10,30.5126,1,41.4392,0.206746,3.8438600000000003,0.010133699999999999
2010-11,30.7821,1,42.7256,0.20864999999999997,3.87172,0.0102198
2010-12,31.3335,1,41.0814,0.212229,3.93316,0.010334300000000001
2011-01,30.3505,1,40.4876,0.20582899999999998,3.80929,0.010113500000000001
2011-02,29.8018,1,40.5811,0.20271999999999998,3.75101,0.0098944
2011-03,28.9028,1,39.8136,0.197992,3.6412999999999998,0.009561
2011-04,28.5162,1,40.3875,0.19567199999999998,3.57682,0.00936185
2011-05,27.5022,1,40.8078,0.18886299999999998,3.4528799999999995,0.00912482
2011-06,27.9805,1,40.2444,0.19240500000000002,3.50655,0.00562083
2011-07,27.8726,1,40.4153,0.19110499999999997,3.48909,0.005613819999999999
2011-08,27.6796,1,39.5182,0.18913900000000003,3.4612499999999997,0.00559071
2011-09,28.9278,1,41.7631,0.19733799999999999,3.62005,0.00567546
2011-10,32.11,1,43.4191,0.216864,4.015610000000001,0.00569326
2011-11,30.1245,1,42.1833,0.20384,3.76321,0.0035440600000000004
2011-12,31.4001,1,41.7559,0.212572,3.91498,0.0036511699999999996
2012-01,32.1961,1,41.6714,0.216874,4.00549,0.00385582
2012-02,30.3131,1,39.9678,0.204039,3.7731000000000003,0.00362164
2012-03,29.0253,1,39.1029,0.196475,3.63066,0.00359669
2012-04,29.3282,1,39.1707,0.198371,3.65165,0.00363423
